2020 삼성 갤럭시 S20 콘텐츠 페스타 ,"광고/마케팅, 영상/UCC/사진, 웹/모바일/플래시, 예체능/미술/음악, 대외활동/서포터즈, 해외",제한없음,삼성전자,2020-03-06 ~ 2020-04-16,5천만원~3천만원,https://www.samsung.com/sec/galaxy-s20/contentfesta/,"2020 삼성 갤럭시 S20 콘텐츠 페스타  ■ 출품 기간 : 2020.03.06(금)~2020.04.16(목) ■ 참여 대상- 삼성 갤럭시 S20를 사용하시는 모든 분- 대여서비스인 갤럭시 S20 TO GO 서비스 이용 하여 응모 가능  (자세한 TO GO 서비스는 가까운 갤럭시 스튜디오 방문하여 확인해주세요) ■ 응모 부문- 갤럭시 S20로 촬영한 사진, 영상 ■ 참여 방법 - <일상> <패션> <푸드> <육아> <여행> <반려동물> <뷰티인아트> 중 마음에 드는 주제를 선택하여갤럭시 S20 카메라로 자유롭게 작품을 촬영해주세요- 홈페이지 내 업로드, 이메일 응모 등으로 출품 가능 ■ 당첨자 발표 - 1회차 우수작 발표 : 2020.03.20 (2020.03.06 ~ 2020.03.18에 출품한 작품 내 우수작 선정)- 2회차 우수작 발표 : 2020.04.03(2020.03.19 ~ 2020.04.01에 출품한 작품 내 우수작 선정)- 3회차 우수작 발표 : 2020.04.20(2020.04.02 ~ 2020.04.16에 출품한 작품 내 우수작 선정)(공식 홈페이지 발표) ■ 심사 기준- 모집 기간 내 출품작 및 기타 사항은 당사가 정한 기준에 의해 심사됩니다. (전문 작가 심사 예정)- 이미 우수작으로 선정된 출품작은 중복 시상되지 않습니다. ■ 시상 내역- 각 회사 종료 후 주제 별 우수작 2편을 선정합니다.  (우수작 별 상금 100만원, 최우수작 1편 500만원)- 총 상금 4,700만원- 참여작 : 갤럭시 워치 액티브2 44mm 블루투스 (총 20개, 1인 1개)              스타벅스 기프티콘 (총 300개, 1인 1개) ■ 문의- 콘텐츠 페스타 운영 사무국 : (주)레드커뮤니케이션즈 070-4801-2968",https://www.wevity.com/upload/contest/20200329232245_767d5783.jpg,3183
2020 새만금개발청 정책 기자단 새만금 탐험대 모집,"영상/UCC/사진, 웹/모바일/플래시, 예체능/미술/음악, 대외활동/서포터즈, 기타",대학생,새만금개발청,2020-03-20 ~ 2020-04-05,다양한 혜택,https://blog.naver.com/smgcstory/221863147806,"2020 새만금개발청 정책 기자단 새만금 탐험대 모집■ 모집기간 : 2020.03.20(금)~2020.04.05(일)■ 모집 대상- 새만금개발청에 관심 있는 국내 대학(원)생- 블로그, 트위터, 페이스북 등 SNS를 활발히 사용하고 디지털 기기(컴퓨터, 디카) 등의 사용에 능숙하며, 월 1회 이상 기사를 작성 및 제작할 수 있는 자※ SNS, 블로그 파워 유저 우대■ 모집부문- 현장탐방/ 미래차•모빌리티팀 * 기사 콘텐츠 기획 및 제작 가능한 청년 (만 19~29세)- 과학실험/ 역사이야기/ 지역공동체 스케치팀 * 영상 콘텐츠 기획 및 제작 가능한 청년 (만 19~29세)■ 모집인원 : 각 팀 3명 이내 / 총 15명 이내■ 제출서류 : 공통서류(필수 작성)- 지원 신청서- 콘텐츠 제안- 포트폴리오※ 분야별 제출 포트폴리오 모집 요강 확인■ 지원방법 - 전자우편 제출(smgcstory@naver.com) * 새만금개발청 공식 홈페이지 및 블로그에 게재된 재원서 작성 * 메일 제목 및 파일명 정책기자단지원서_이름(생년월일)■ 합격발표 : 2020년 4월 중(공식 홈페이지, 블로그 공지, 개별 통보)■ 활동기간 : 선발 시~2020년 12월 말■ 선발기준- 생생한 현장 취재, 개인 블로그/페이스북의 활성화 정도- 보유 재능 (글쓰기, 영상 제작, 웹툰 드로잉 등)을 평가해 실질적인 기여를 할 수 있는 인원으로 선발 예정- 새만금 인근 지역 거주 대학생 위주 선정(새만금개발청 행사 진행 시 접근성 고려)- 환경 등 새만금개발청 사업과 관련된 전공자(흥미와 참여도 유발)- 선정 시 자유기사를 제출하도록 하여 퀄리티 높은 기자단 선정 예정■ 주요 활동 - 매월 1~2건의 콘텐츠 의무 제작- 현장탐방, 미래차•모빌리티팀 월 1~2건- 과학실험, 역사이야기, 지역공동체 스케치팀 월 1건 이상■ 활동 혜택 - 소정의 활동비(원고료, 취재 교통비, 인센티브) 지급 * 활동 현황 및 콘텐츠 수준에 따라 차등 지급 * 포털사이트 메인 선정 시 인센티브- 기자단 위촉장, 명함, 기자증 및 기자단 활동 증명서 발급■ 문의- 새만금개발청 기자단 담당자 02-6205-7130",https://www.wevity.com/upload/contest/20200325170256_5bb7913d.jpg,6421
한전KDN 2020년도 대국민 혁신 아이디어 공모,"기획/아이디어, 광고/마케팅, 논문/리포트, 과학/공학, 기타",제한없음,한전KDN,2020-03-02 ~ 2020-03-31,1천만원이하,https://kdn.com/event.kdn?mid=a10111060100&act=view&event_seq=19&event_status=I,"한전KDN 2020년도 대국민 혁신 아이디어 공모 ■ 공모대상 : 대한민국 국민 누구나 ■ 공모분야 : 전력ICT혁신, 국민안전, 사회적가치 3개 분야※ 세부 공모과제 등 상세사항은 첨부된 공고문 파일을 참고해주시기 바랍니다. ■ 공모기간 : 2020. 3. 2.(월) ~ 3.31.(화), 30일간 ■ 접수방법- 한전KDN 홈페이지( www.kdn.com ) 내 '회사소개 - 홍보센터 - 공모전' 페이지에서 접수 또는- 이메일(kdn_inno@kdn.com)로 접수 ■ 제출서류① 홈페이지 접수 시 : 혁신 아이디어 제안서(PDF파일로 변환하여 제출)② 이메일 접수 시 : 참가신청서, 혁신 아이디어 제안서​ ■ 시상규모 : 최우수(1) 200만원, 우수(2) 100만원, 장려(3) 50만원 ■ 참가이벤트 : 아이디어를 제안하신 분들 중 추첨을 통해 참가상(기프티콘)을 증정합니다. ■ 문의처 : 한전KDN(주) 전략혁신부 (☎061-931-7057)",https://www.wevity.com/upload/contest/20200318061854_dc47f7e2.jpg,7487
DMZ 평화관광 유튜버 활동 지원사업 참가자 모집,"광고/마케팅, 영상/UCC/사진, 예체능/미술/음악, 대외활동/서포터즈, 봉사활동",제한없음,"강원도, 강원도경제진흥원",2020-03-09 ~ 2020-03-31,다양한 혜택,http://gwep.or.kr/bbs/board.php?bo_table=gw_sub21&wr_id=954,"DMZ 평화관광 유튜버 활동 지원사업 참가자 모집 ■ 대상 : 강원도 DMZ를 주제로 한 콘텐츠를 창작할 수 있는 누구나 ■ 선정규모 : 20개팀 내외 ■ 접수일자 : 2020. 3. 9.(월) ~ 3. 31.(화), 18:00까지 ■ 활동기간 : 선정일 ~ 2020.12.31.  ■ 운영방법- 크리에이터 공모 후 선발된 인원을 대상으로 의무교육 시행- DMZ 지역을 주제로 한 콘텐츠 제작(매월 1회 이상) 실시 및 지원- 크리에이터 간 정기적 회의(4회)를 통해 콘텐츠 소재 구체화- 활동기간 내 인기 유튜버 특강 시행- 활동능력이 우수한 크리에이터에게 상장 등 수여 ■ 선발방법 : 정량적 평가와 정성적 평가(서류)를 통한 선발 ■ 제출방법 : 방문,우편,이메일 접수 ※ 우편접수는 마감일시까지 도착분에 한함 ■ 제 출 처 - 주   소 : 강원도 원주시 호저로 47 강원도경제진흥원 5층 관광융복합팀 - 이 메 일  : lbr@gwep.or.kr- 문   의 : 강원도경제진흥원 관광융복합팀 이보라, 033-749-3373 ■ 제출서류  가. 응모 신청 및 실적서류 : 1부 - 공모신청서(서식 1) - 실적현황(서식 2) - 서약서(서식 3)나. 활동계획서(서식 4) : 7부 - 사업계획서(자유서식) * 작성내용은 전부 기재다. 대표영상 : 각자 유튜브에 올리고 URL을 본 제출양식에 기입 ■ 작성서식- 규격 : A4 백색, 좌 또는 상편철, 흑백단면인쇄- 분량 : 10매 이내(필요시 추가 작성)- 서식 : 서식 4(단, 작성 내용 모두 포함) ■ 작성내용 : 유튜버 영상 제작 및 활동계획 ① 지원 동기 및 활동 의지② 활동계획 ※ 제작 작품 개요, 시기, 주제 및 내용 등③ 보유장비 현황  ■ 활동혜택 (유튜버 활동지원사항)① DMZ 평화관광 유튜버 활동지원 지원   - DMZ 지역 유튜브 영상 제작 활동 지원(1회당 350천원)  ※ 강원도 DMZ 생활․문화․관광․정책 등 다양한 영상 콘텐츠 제작(월 1편 이상)② 교육 및 컨설팅 등 지원   - 위촉 후 미디어 윤리, 콘텐츠제작권 등 교육  - 활동기간 내 인기 유튜버 특강 지원 - DMZ(평화지역) 주요 행사에 우선 초청, 영상 촬영 지원③ 우수 활동 유튜버 상장 등 수여 ■ 문의 : 033-749-3373 / lbr@gwep.or.kr",https://www.wevity.com/upload/contest/20200310122724_a1f86ec2.jpg,3463
제1회 아임오 레이디벅스 캐릭터 공모전,"광고/마케팅, 디자인/캐릭터/웹툰, 예체능/미술/음악, 기타","대학생, 청소년, 기타",아임오,2020-03-02 ~ 2020-04-05,1천만원이하,https://blog.naver.com/imorganic2020/221814087307,"제1회 아임오 레이디벅스 캐릭터 공모전 ■ 공모주제 - 아임오 시그니처 아이콘인 무당벌레를 활용한 캐릭터 개발- 캐릭터 네이밍 생성 및 퍼스널리티 부여 ■ 공모자격 - 시각화/디자인에 관심 있는 국내외 고등학생/대학생/대학원생   (휴학생/수료생 가능)- 개인 또는 3 인 이하의 팀 구성 가능 ※ 직장인 응모 불가  ■ 접수일정 ​- 접수기간 : 20.03.02(월) ~ 04.05(일)- 심사기간 : 20.04.06(월) ~ 05.01(금)- 수상발표 : 20.05.08(금)  ■ 공모형식 - 기본컷 1 컷 , 응용컷 3 컷 제작 (캐릭터 수 제한 없음)- A3 (420 × 297mm 맞추어 제작, 가로 및 세로형 모두 가능)- 72dpi , jpg 혹은 jpeg 파일로 변환하여 접수- 수상작품은 추후 원본 파일 제출 (AI, PSD, EPS 등 해상도 300dpi 이상)  ■ 시상내용 - 대상(1점) : 200만원- 최우수상(2점) : 각 인(팀)별 100만원- 우수상(2점) : 각 인(팀)별 50만원 ■ 심사기준- 1차 (본사 심사) : 작품의 주제 적합성, 독창성, 대중성, 활용성 등을 심사 - 2차 (대중 선호도) : SNS를 통한 대중의 캐릭터 선호도 조사 - 3차 (최종심사) : 1차, 2차 점수 합산하여 심사 ■ 접수방법- 사이트 접속 https://blog.naver.com/imorganic2020/221814087307- 신청서 다운로드 후 이메일 접수 - 이메일 : imorganic2020@naver.com  ■ 유의사항① 동일인 팀이 여러 작품을 응모하여 다수 입상할 경우 상위 1 작품만 인정합니다. ② 제출 시 작성한 인적사항 등 개인정보는 본 공모전 목적 외 사용하지 않습니다. ③ 모든 출품작은 순수 창작물이어야 하며 , 타 공모전에 기 입상된 품이거나 표절 · 편집 · 합성된 응모작품은 심사에서 제외되고 입상 후 확인될 경우 입상 취소 및 상금 회수 등 법적조치가 있을 수 있습니다. ④ 출품작은 반환하지 않으며, 수상작에 대한 사용권과 저작권은 ㈜아이엠오에 귀속됩니다. ⑤ 타인의 저작권 침해 작품은 심사 대상에서 제외하며, 분쟁발생 시 모든 손해배상과 책임은 응모자가 부담하여야 합니다 . (상장 , 상금 회수 및 형사상 책임) ⑥ 수상작은 향후 2 차 가공 후 홍보물로 활용될 수 있습니다. (작업 파일 요청 시 제출 가능하여야 함) ⑦ 시상금에 대한 제세공과금은 수상자 본인이 부담합니다.  ■ 문의사항 - 문의처 이메일 imorganic2020@naver.com",https://www.wevity.com/upload/contest/20200301002538_9c024bf9.jpg,5214
2020 녹색건축 캐릭터 및 시나리오 공모전,"광고/마케팅, 디자인/캐릭터/웹툰, 문학/글/시나리오, 건축/건설/인테리어, 예체능/미술/음악",제한없음,"국토교통부, 한국감정원",2020-02-26 ~ 2020-04-10,1천만원이하,https://www.greentogether.go.kr:8343/cus/noticeDetail.do?nttId=3483,"2020 녹색건축 캐릭터 및 시나리오 공모전녹색건축 캐릭터 및 시나리오 공모전은 국토교통부 및 한국감정원이 공동으로 주최하는 공모전으로, 녹색건축 이미지를 대표하는 캐릭터를 제작하고 시나리오를 구상하여 추후 만화교재 등 전국민을 대상으로 배포될 제작물에 나의 작품을 담을 수 있는 너무나 좋은 기회입니다! 많은 참여 부탁드립니다~!!  ■ 공모주제- 녹색건축 이미지를 나타낼 수 있는 캐릭터 및 시나리오로 향후 녹색건축 홍보와 국민을 대상으로 녹색건축을 알리기위한 저작물 제작(만화교재 등) 용도로 사용할 수 있을 것- 시나리오의 경우 초등학생 대상의 교육 만화교재 제작 및 배포를 목적으로 에너지 절약습관 또는 건축물 온실가스 감축 유도 등 학습효과가 있는 내용으로 구성할 것■ 제출기간 : 2020. 2. 26 (수) ~ 2020. 4. 10 (금) 18:00■ 공모 대상- 대한민국 모든 국민(개인 또는 팀단위(최대5인 이내) 구성)■ 시상내역- 캐릭터부문 * 대상(1팀) : 국토교통부 장관상 / 400만원 * 최우수상(1팀) : 한국감정원 장관상 / 100만원 * 우수상(1팀) : 한국감정원 장관상 / 50만원- 시나리오부문 * 대상(1팀) : 국토교통부 장관상 / 200만원 * 최우수상(1팀) : 한국감정원 장관상 / 100만원 * 우수상(1팀) : 한국감정원 장관상 / 50만원■ 제출서류- 공통서류 : 공모전 신청서(참가신청서 및 개인정보이용동의서, 보안서약서 등)- 캐릭터부문 : 캐릭터설명서 및 캐릭터시안(기본형 1종, 응용형 3종) * 수상작품은 추후 원본파일(ai) 제출- 시나리오부문 : 시놉시스 3편 내외 및 시나리오 1편■ 접수방법- 이메일 신청•접수 : greencenter@kab.co.kr■ 문의- 전화 : 02-2187-4106, 02-2187-4152- 이메일 : greencenter@kab.co.kr",https://www.wevity.com/upload/contest/20200226062726_416f80c4.jpg,2266
제4회 소비자지향성 개선과제 공모전,"기획/아이디어, 논문/리포트, 과학/공학, 대외활동/서포터즈, 기타",제한없음,"공정거래위원회, 한국소비자원",2020-02-17 ~ 2020-05-31,1천만원이하,https://www.kca.go.kr/home/sub.do?menukey=4003&mode=view&no=1002899077,"제4회 소비자지향성 개선과제 공모전 소비생활 개선 아이디어를 들려주세요! ■ 공모주제 : 소비자지향적 개선이 필요한 법령 및 제도 개선방안법・제도 미비로 인하여 소비생활에서 느낀 불편한 점을 표현해주세요!예) LED 마스크 안전기준 마련, 취약계층 키오스크 사용 관련 제도개선 ■ 응모기간 : 2020.2.17.(월) ～ 5월 31일(일) 24:00 까지 ■ 응모자격 : 제한없음 ■ 응모형태 : 개인 또는 팀(5명 이내) ■ 방법 : 제안서 등을 양식대로 작성하여 이메일로 제출 : kcacoa@kca.go.kr※ 양식은 한국소비자원 홈페이지( https://www.kca.go.kr/home/sub.do?menukey=4003&mode=view&no=1002899077 ) 공지사항에서 다운로드 ■ 심사일정 - 1. 2차 심사기간 : 2020년 6월 중 예정- 최종결과 발표 : 2020년 7월 중순 예정(개별통지)※ 일정은 내부계획에 따라 변동될 수 있음 ■ 심사기준- 1차 심사 기준 : 주제적합성, 참신성(아이디어성) 등 ※ 2차 심사대상은 1차 심사결과 상위 48건의 과제(최종 수상자의 3배수)- 2차 심사 기준 : 실현가능성, 효과성, 구체성 등 ※ 1차 심사 통과과제만 2차 심사의 대상이 됨 ※ 1차 심사점수는 2차 심사점수에 합산되지 않음 ■ 시상내역- 대상 : 1명(팀) / 상장 수여 및 상금 150만원- 최우수상 : 2명(팀) / 상장 수여 및 상금 80만원- 우수상 : 5명(팀) / 상장 수여 및 상금 50만원- 장려상 : 8명(팀) / 상장 수여 및 상금 30만원※ 대상・최우수상 : 공정거래위원장 표창, 우수상・장려상 : 한국소비자원장 표창※ 참가상 : 응모자(팀) 선착순 100명 커피쿠폰 제공 예정(1팀 1쿠폰) ■ 유의사항- 제출된 서류 등은 반환하지 않음- 1인(팀) 당 제출할 수 있는 과제 수에는 제한이 없으나, 동일인(팀)의 다수 과제가 수상범위에 포함될 경우 최고 등수 과제에 대해서만 시상함- 응모주제 및 형식에 적합하지 않은 경우 심사에서 제외될 수 있음- 심사 결과에 따라 응모과제 수 및 수준 등을 고려하여 시상규모를 줄이거나 시상하지 않을 수 있음- 응모과제가 동일・유사한 제안으로 본인 또는 타인이 이미 다른 행정기관에서 포상 등을 받거나 표절이 확인될 경우 입상이 취소되고 상금이 환수조치 됨- 주최 측은 공익적 목적을 위해 제출된 응모과제를 재가공할 수 있음. 또한 재가공한 작업물의 저작재산권은 주최 측에 귀속됨에 동의함 - 팀 참가의 경우 상금은 대표 1인에게 지급되며, 상금 수상에 따른 제세공과금은 수상자(팀)가 부담 ■ 문의 : 한국소비자원 소비자지향성평가사업단(043-880-5905)",https://www.wevity.com/upload/contest/20200217001837_8ed53e96.png,2359
2020년 제7회 산업안전보건 논문경진대회,"기획/아이디어, 논문/리포트, 과학/공학, 예체능/미술/음악, 대외활동/서포터즈",대학생,안전보건공단 산업안전보건연구원,2020-01-30 ~ 2020-06-14,1천만원이하,http://oshri.kosha.or.kr/oshri/researcherNews/notice.do?mode=view&articleNo=410615&article.offset=0&articleLimit=10,"2020년 제7회 산업안전보건 논문경진대회안전보건공단 산업안전보건연구원에서는 ‘일하는 사람의 안전과 건강’에 대한 관심과 연구를 장려하고자 ‘제7회 산업안전보건 논문경진대회’를 개최하게 되었습니다.본 경진대회에서 활용할 자료는 산업안전보건연구원에서 생산하는 근로환경조사(KWCS)와 산업안전보건 실태조사입니다.근로환경조사는 전국 5만 가구에 대해 실시하는 대단위 조사로써, 지난 2006년에 제1차 조사를 실시한 이후 2017년에 제5차 조사를 실시하였습니다. 직장 내 위험요인 노출, 근로시간과 노동강도, 스트레스, 직장내 인간관계, 감정노동 등 다양한 근로환경요소를 조사하고 있습니다. 또한 신체·정신적 건강상태, 일과 삶의 균형, 근로만족도 등 삶의 질과 관련된 다양한 측면을 조사하여 ‘우리나라의 근로환경 실태’를 종합적으로 파악하기 위한 정보를 제공하고 있으며, 공학, 의학, 보건학, 심리학, 사회학, 간호학 등 다양한 분야에서 활용되고 있습니다. 또한 유럽연합(EU)에서 실시하는 근로환경조사(EWCS)와도 국제적인 비교분석이 가능합니다.(※ KWCS : Korean Working Conditions Survey / EWCS : European Working Conditions Survey )산업안전보건 실태조사는 전국 5천 개 사업장을 대상으로 실시하는 조사로 효과적인 산업안전보건 정책수립을 위해 사업장별 산업재해 발생에 영향을 미치는 다양한 환경을 조사하고 있습니다. 사업장 일반현황, 위험인자의 분포, 안전보건 조직 및 관리, 안전보건활동, 근로자 참여 및 의사소통, 업무변화, 안전보건 문화, 안전보건정책 호응도 등 다양한 항목이 조사대상이며, 2018년 국가승인통계로 지정되어 2018년에 실시한 제9차 조사결과(설문지, 원시자료, 자료이용자 안내서)부터 제공 가능합니다.■ 진행일정- 원시자료 신청 : 수시	 - 참가신청서/논문 접수 마감 : 2020. 6. 14. / 이메일- 논문심사 결과발표 : 2020. 6. 30. / 홈페이지 공지 및 개별통보- 최종발표 대회 : 2020. 7. / 산업안전보건 강조주간 행사※ 산업안전보건 강조주간행사 : 매년 7월 첫째주 고용노동부/안전보건공단 주최 행사■ 논문주제- ‘근로환경조사’, ‘산업안전보건 실태조사’를 활용한 ‘일하는 사람의 건강과 안전’과 관련된 내용- 자유주제를 기본으로 하되 산업안전보건 정책에 활용 가능한 정책적 제언이 가능한 주제 권장■ 근로환경조사 및 산업안전보건 실태조사 원시자료 다운로드 방법- 자료는 산업안전보건공단 홈페이지( www.kosha.or.kr )에 접속하여 원시자료를 다운로드 ※ 접속경로 :「자료마당」→「안전보건자료실」→「산업재해통계」→「근로환경조사」또는「산업안전보건 실태조사」 * 주소:  http://www.kosha.or.kr/kosha/data/mediaBankMain.do#a■ 응모자격- 안전·보건 분야에 관심있는 대학생·대학원생 누구나 지원 가능- 단독 혹은 공동 지원(팀 구성은 4인 이내) 가능하며 응모 논문 수 제한 없음■ 논문양식- 논문분량은 15매 이내로 작성하며, 국문·영문 모두 지원 가능함.- 응모논문은 타 학술지 혹은 논문집에 출판되지 않은 것이어야 함. ※ 단, 학술대회에서 발표(구두 또는 포스터)된 경우는 지원가능하나, 공단내 유사행사에 동일인의 중복 제출 불가■ 시상내역- 최우수상(1편) : 고용노동부 장관상 / 상금 200만원- 우수상(2편) : 안전보건공단 이사장상 / 상금 100만원- 장려상(2편) : 산업안전보건연구원 원장상 / 상금 50만원- 가작(O편) : 산업안전보건연구원 원장상※ 가작에 대해서는 접수된 논문심사 과정에서 심사위원에 의해 편수 결정, 모든 수상에는 적격자가 없을 경우 시상하지 않을 수 있음** 부상은 각 수상에 따른 상금 상당의 온누리상품권으로 지급■ 접수방법 및 제출관련 문의- 관련 서류 및 논문은 이메일 제출 : lch87@kosha.or.kr- 제출관련 문의: 산업안전보건연구원 정책제도연구부(T. 052-703-0824, 0828)- 논문작성의 세부사항은 논문작성양식 참조(첨부파일)",https://www.wevity.com/upload/contest/20200207174514_62a4a18a.jpg,4460
오븐마루치킨 영상 공모전,"광고/마케팅, 영상/UCC/사진, 웹/모바일/플래시, 예체능/미술/음악, 기타",제한없음,(주)오엠푸드,2020-02-01 ~ 2020-03-31,1천만원이하,http://ovenmaru.com/,오븐마루치킨 영상 공모전 '치킨을 FLEX 하다~!' ■ 응모주제- 자신만의 컨셉으로 ‘오븐마루치킨’을 위트와 개성 있게 홍보※ 부문별 자유 응모 방식 (3가지 중 택1) * ‘ASMR’ 부문 (오감을 자극할 수 있게 메뉴의 식감을 표현) * ‘프로 먹방러’ 부문 (폭풍먹방을 통해 메뉴를 먹음직스럽게 표현) * ‘마이웨이’ 부문 (창의적이고 유머러스하게 내맘대로 표현) ■ 응모기간 : 2020년 2월 1일 ~ 3월 31일 ■ 응모자격- 오븐마루 치킨을 널리 퍼뜨릴 대한민국 국민이라면 누구나 ■ 참여방법1. 제작한 영상을 오븐마루치킨 오픈 카톡에 전송  (카카오톡 오픈채팅에서 '오븐마루 영상공모전 or 치킨 Flex' 검색  오픈카톡 : https://open.kakao.com/o/s2hboOOb )2. 카톡 피드백을 받은 참여자에 한해 개인 SNS에 업로드  (SNS_페이스북/인스타그램/유튜브)3. 네이버 신청폼에 업로드 링크 공유 및 공모신청  (네이버 신청폼 : http://naver.me/5pOv4QJ0 )  ■ 출품규격- 길이 : 3분(180초)이내- 영상비율 : 16:9(유튜브 기본비율)- 해상도 : HD급(1280x720 pixel)- 파일형식 : mp4 ■ 시상내용- 대상(1팀) : 100만원- 우수상(부분별 2팀) : 50만원- 장려상(30팀) : 오븐마루 상품권 3만원 ■ 심사발표- 2020년 4월 중순 (공모전 진행상황에 따라 변동될 수 있음) ■ 문의사항 : (주)오엠푸드- T. 02-928-5669  (월~금 10:30 ~ 18:30/주말 및 공휴일 제외)- E. om@ovenmaru.com- 홈페이지 : http://ovenmaru.com/,https://www.wevity.com/upload/contest/20200130172036_8839b876.jpg,3667
제2회 밀크T 창작동화 공모전,"문학/글/시나리오, 예체능/미술/음악, 기타",제한없음,"천재교육, 천재교과서, 해법에듀 / 밀크T",2020-04-01 ~ 2020-04-15,5천만원이상,http://www.milkt.co.kr/partner/Partner191220,"제2회 밀크T 창작동화 공모전 ■ 공모기간 : 2020년 4월 1일(수) ~ 2020년 4월 15일(수) ■ 지원자격 : 만 14세 이상 (기성/신인작가 불문) ■ 모집 부문※ 단편, 중편, 장편으로 구분하여 모집 - 창작 동화 부문 / 200자 원고지 기준, 단편 40매, 중편 100매, 장편 180매 내외 - 과학 동화 부문 / 200자 원고지 기준, 단편 40매, 중편 150매, 장편 250매 내외 - 사회 동화 부문 / 200자 원고지 기준, 단편 40매, 중편 150매, 장편 250매 내외 ■ 시상 내역 (총 상금 5,550만원, 총 41명 시상)- 대상 * 전체: 500만원 / 1명(전체 1명)- 금상 * 장편: 400만원 / 1명(전체 1명) * 중편 : 각 300만원 / 3명(부문별 각 1명) * 단편 : 각 200만원 / 3명(부문별 각 1명)- 은상 * 장편 : 300만원 / 1명(전체 1명) * 중편 : 각 200만원 / 3명(부문별 각 1명) * 단편 : 각 100만원 / 9명(부문별 각 3명)- 동상 * 장편 : 각 150만원 / 2명(전체 2명) * 중편 : 각 100만원 / 3명(부문별 각 1명) * 단편 : 각 50만원 / 15명(부문별 각 5명) ■ 지원방법 : 밀크T 홈페이지에서 접수- http://www.milkt.co.kr/partner/Partner191220 ■ 유의 사항- 제출된 응모작은 반환하지 않습니다.- 수상작에 대한 포괄적인 사용 권한 및 권리(출판권, 저작재산권 포함)는 향후 7년간 주최사(관계사 포함)에 있습니다.- 공모전에서 수상한 작품의 활용 시 가공 및 수정, 보완될 수 있습니다. 수상작품집 발간 시 별도의 인세를 지급하지 않습니다. - 이미 발표된 작품이거나, 다른 공모전 등에 수상한 작품, 표절 또는 기타 저작권 문제가 발생한 경우에는 당선이 취소되고, 이에 대한 모든 법적 책임은 응모자에게 있습니다.- 심사 기준에 미달할 경우 수상작이 없을 수 있습니다. - 상금에 대한 제세공과금은 수상자 본인이 부담합니다.  ■ 문의 접수- 이메일 접수: storycontest_milkt@chunjae.co.kr ■ 주최 : 천재교육, 천재교과서, 해법에듀 ■ 주관 : 밀크T",https://www.wevity.com/upload/contest/20200113004709_56185eb8.jpg,7750
